"patent_id"	"latin_name"	"plant_variety"
"PP30384"	"Persea americana P. Mill."	"TAMI"
"PP20006"	"Weigela"	"April Snow"
"PP25627"	"Plectranthus scutellarioides"	"Gator Glory"
"PP21447"	"Brachycome angustifolia"	"MM001"
"PP28552"	"Clematis viticella"	"Evipo058"
"PP34698"	"Vitus vinifera"	"ARDFORTYONE"
"PP19228"	"Hibiscus acetosella"	"Haight Ashbury"
"PP35407"	"Rosa hybrida"	"Poulren042"
"PP25987"	"Baptisia hybrid"	"Mojito"
"PP17489"	"Chrysanthemum×morifolium"	"Yocupertino"
"PP27891"	"Zantedeschia sprengeri"	"Sunclub"
"PP25598"	"Caladium×hortulanum"	"UF 4424"
"PP20601"	"Rosa hybrida"	"Hormeteoric"
"PP27713"	"Loropetalum chinense"	"IRODORI"
"PP35293"	"Betonica officinalis"	"Summer Grapes"
"PP18518"	"Verbena hybrida"	"KLEVP05339"
"PP27867"	"Malus domestica"	"BL-14"
"PP17922"	"Verbena hybrida"	"Duefarred"
"PP32493"	"Rosa hybrida"	"WEKyoopedko"
"PP33059"	"(Astilbe japonica x A. arendsii) X Astilbe thunbergii"	"Moccachino"
"PP21312"	"Echinacea purpurea (L) Moench"	"Kiechotpi"
"PP31651"	"Prunus persica (L.) Batsch"	"NSRED14262"
"PP28873"	"Zantedeschia sprengeri"	"Helvetia"
"PP16482"	"Kalanchoe blossfeldiana"	"Milos"
"PP24014"	"Calycanthus chinensis×Calycanthus occidentalis"	"Aphrodite"
"PP22317"	"Rosa hybrida"	"KORerisio"
"PP34198"	"Euphorbia pulcherrima"	"EURZ0021"
"PP30821"	"Leucothoe axillaris"	"ReJoyce"
"PP28483"	"Vanda spp."	"SPCDW1409"
"PP15996"	"Alstroemeria hybrida"	"Koserin"
"PP26449"	"Rosa hybrida"	"ESM R059"
"PP27291"	"Rosa hybrida"	"ESM R129"
"PP33356"	"Vitis vinifera"	"Itumfive"
"PP19530"	"Prunus sp."	"Plumsweet XIII"
"PP30334"	"Pelargonium interspecific"	"PEQZ0037"
"PP25256"	"Chrysanthemum×morifolium"	"Fimmerdabro"
"PP32470"	"Nandina domestica"	"ZhNan102"
"PP32058"	"Ranunculus cortusifolius x asiaticus"	"ROCORANGE"
"PP17933"	"Penstemon hartwegii"	"Pheni Vio"
"PP27135"	"Euphorbia pulcherrima"	"NPCW14221"
"PP24130"	"Phlox drummondii"	"Sunphlosiro"
"PP20905"	"Diascia barberae"	"Dala Oran"
"PP29459"	"Echeveria agavoides×Echeveria elegans"	"Green Delight"
"PP17555"	"Euphorbia hybrida"	"Inneuphhel"
"PP18269"	"Nemesia caerulea×Nemesia strumosa"	"Kirine-12"
"PP30750"	"Echinacea x hybrida"	"Balsomtresgo"
"PP20872"	"Petunia×hybrida"	"Duepotpiwi"
"PP18702"	"Rosa hybrida"	"AUSrelate"
"PP35563"	"Hosta hybrid (Tratt.)"	"Sound of Music"
"PP29025"	"Yucca gloriosa"	"TUSZYUC001"
"PP30444"	"Rosa hybrid"	"Poulcot014"
"PP26555"	"Chrysanthemum×morifolium Ramat."	"Zanmubrilpin"
"PP24771"	"Heuchera×hybrida"	"Carnival Plum Crazy"
"PP30732"	"Prunus persica (L.) Batsch"	"CRISPLOVA"
"PP15686"	"Calibrachoa species"	"Kakegawa S72"
"PP23479"	"Vitis vinifera"	"Sugraforty"
"PP35673"	"Hydrangea paniculata"	"HP221902"
"PP25933"	"Vriesea hybrid"	"V807-1"
"PP24960"	"Calibrachoa sp."	"Sunbel 0579"
"PP24919"	"Dahlia hybrida"	"BKDAWHT"
"PP34184"	"Prunus persica"	"Pearlicious VIII"
"PP31499"	"Penstemon hybrid"	"TNPENHR"
"PP22063"	"Buddleja davidii"	"Tobudviole"
"PP29939"	"Illicium"	"NCIH1"
"PP30388"	"Ranunculus asiaticus"	"ABSIRLPIN"
"PP21657"	"Brachyscome multifida"	"Bonbrama"
